Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1,9,"extension-output-MattiaConsiglio.vs-code-recorder-#1-VS Code Recorder",0,0,"7:00:13 PM [info] Activating VS Code Recorder\n",Log,tab
2,101,"extension-output-MattiaConsiglio.vs-code-recorder-#1-VS Code Recorder",46,0,"7:00:15 PM [info] Recording started\n",Log,content
3,6121,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n}\n\nmodule.exports = helloWorld;\n",javascript,tab
